lr_a,lr_b,mean_a_minus_b,t_stat,p_raw,p_holm
3e-5,1e-4,-159.6247499933961,-53.93784402851014,1.6895165869430488e-07,1.8584682456373537e-06
3e-5,3e-4,-229.9814096670558,-5.505911086620208,0.00529835575754579,0.04238684606036632
3e-5,1e-3,-409.67442676107294,-24.66262747125056,1.553842111441446e-05,0.0001553842111441446
3e-5,3e-3,-450.03342676107286,-319.82086128457934,6.667746787116657e-15,1.0001620180674986e-13
3e-5,1e-2,-451.2434267610729,-628.2137567273203,3.8522471668168056e-11,5.393146033543528e-10
1e-4,3e-4,-70.35665967365969,-1.6806690071081347,0.167453732034377,0.334907464068754
1e-4,1e-3,-250.04967676767683,-14.846704121759007,8.146990526234794e-05,0.0007332291473611315
1e-4,3e-3,-290.40867676767675,-93.21424811808718,7.749162845773739e-10,1.007391169950586e-08
1e-4,1e-2,-291.6186767676768,-101.5765017700528,5.632454376766877e-08,6.758945252120253e-07
3e-4,1e-3,-179.69301709401714,-3.9984897698729056,0.009428542371351758,0.04714271185675879
3e-4,3e-3,-220.05201709401706,-5.266763800527887,0.006196860008597615,0.04266941040027698
3e-4,1e-2,-221.2620170940171,-5.297946319319385,0.006095630057182427,0.04266941040027698
1e-3,3e-3,-40.358999999999924,-2.4254705338163034,0.07166443237644722,0.265694632248137
1e-3,1e-2,-41.56899999999996,-2.5048197515980473,0.06642365806203425,0.265694632248137
3e-3,1e-2,-1.2100000000000364,-1.0000000000000282,0.37390096630004654,0.37390096630004654
