lr,seed,final_mean_return
3e-5,1,47.2080
3e-5,2,49.2622
3e-5,3,51.2936
3e-5,4,47.7723
3e-5,5,48.2468
1e-4,1,199.2794
1e-4,2,211.5768
1e-4,3,210.0189
1e-4,4,205.0388
1e-4,5,215.9928
3e-4,1,170.8855
3e-4,2,236.0822
3e-4,3,244.8289
3e-4,4,330.4633
3e-4,5,411.4300
1e-3,1,464.4250
1e-3,2,499.9000
1e-3,3,424.4100
1e-3,4,416.3200
1e-3,5,487.1000
3e-3,1,500.0000
3e-3,2,500.0000
3e-3,3,493.9500
3e-3,4,500.0000
3e-3,5,500.0000
1e-2,1,500.0000
1e-2,2,500.0000
1e-2,3,500.0000
1e-2,4,500.0000
1e-2,5,500.0000
