arm,seed,det,rc,elapsed_s
flip_update_epochs_to_default,201,1614.1500,0,1272.0
flip_update_epochs_to_default,203,3820.0300,0,1272.0
flip_update_epochs_to_default,202,3710.3500,0,1272.5
A_winner,202,1504.4500,0,1368.2
A_winner,201,1762.6000,0,1368.4
A_winner,203,3076.0800,0,1371.4
flip_clip_coef_to_default,202,1598.1500,0,1378.6
flip_clip_coef_to_default,201,1569.6300,0,1381.5
flip_clip_coef_to_default,203,1538.4200,0,1381.9
flip_ent_coef_to_default,201,1753.3100,0,1380.9
flip_ent_coef_to_default,202,1655.3400,0,1380.9
flip_ent_coef_to_default,203,1343.5300,0,1378.8
flip_vf_coef_to_default,201,1658.1900,0,1382.3
flip_vf_coef_to_default,203,1408.7500,0,1379.5
flip_vf_coef_to_default,202,4249.0400,0,1380.9
flip_anneal_lr_to_default,201,1586.3900,0,1382.5
flip_anneal_lr_to_default,202,1429.0500,0,1382.7
flip_anneal_lr_to_default,203,1568.0200,0,1382.1
flip_clip_vloss_to_default,201,1721.2700,0,1465.9
flip_clip_vloss_to_default,202,1585.7400,0,1465.3
flip_clip_vloss_to_default,203,4026.4200,0,1465.9
flip_rollout_to_default,201,1187.4800,0,3180.7
flip_rollout_to_default,202,4081.9100,0,3182.7
flip_rollout_to_default,203,976.0300,0,3192.3
Y_cleanrl_defaults,201,1502.8200,0,2915.3
Y_cleanrl_defaults,202,1283.6100,0,2915.0
Y_cleanrl_defaults,203,1464.1000,0,2920.2
Z_sb3_zoo_halfcheetah,202,1109.2200,0,2173.1
Z_sb3_zoo_halfcheetah,201,1022.0500,0,2176.0
Z_sb3_zoo_halfcheetah,203,1066.3200,0,2166.2
