arm,n_seeds,mean,std,ci_lo,ci_hi,delta_vs_winner,per_seed
A_winner,3,2114.3767,842.8021,1504.4500,3076.0800,0.0000,1504.4500;1762.6000;3076.0800
flip_update_epochs_to_default,3,3048.1767,1243.1137,1614.1500,3820.0300,933.8000,1614.1500;3820.0300;3710.3500
flip_clip_coef_to_default,3,1568.7333,29.8751,1538.4200,1598.1500,-545.6433,1598.1500;1569.6300;1538.4200
flip_ent_coef_to_default,3,1584.0600,213.9872,1343.5300,1753.3100,-530.3167,1753.3100;1655.3400;1343.5300
flip_vf_coef_to_default,3,2438.6600,1572.7879,1408.7500,4249.0400,324.2833,1658.1900;1408.7500;4249.0400
flip_anneal_lr_to_default,3,1527.8200,86.0291,1429.0500,1586.3900,-586.5567,1586.3900;1429.0500;1568.0200
flip_clip_vloss_to_default,3,2444.4767,1371.6780,1585.7400,4026.4200,330.1000,1721.2700;1585.7400;4026.4200
flip_rollout_to_default,3,2081.8067,1735.3639,976.0300,4081.9100,-32.5700,1187.4800;4081.9100;976.0300
Y_cleanrl_defaults,3,1416.8433,116.9964,1283.6100,1502.8200,-697.5333,1502.8200;1283.6100;1464.1000
Z_sb3_zoo_halfcheetah,3,1065.8633,43.5868,1022.0500,1109.2200,-1048.5133,1109.2200;1022.0500;1066.3200
