rank,param,alt_value,label,n_seeds,perturbed_mean,perturbed_ci_lo,perturbed_ci_hi,drop_vs_baseline_mean,paired_drop_mean,paired_drop_ci_lo,paired_drop_ci_hi,per_seed_vals
1,update_epochs,4,update_epochs 4 (cleanrl default),3,44.1983,-108.7696,197.0917,198.3958,194.9346,48.8905,344.1878,197.0917;-108.7696;44.2728
2,learning_rate,0.0003,lr 3e-4 (cleanrl default),3,89.0292,82.4637,101.1097,153.5648,150.1037,134.8886,163.5185,82.4637;83.5143;101.1097
3,num_steps,1024,num_steps 1024 (large rollouts),3,99.9344,76.4935,127.9701,142.6597,139.1985,107.4481,169.4887,76.4935;127.9701;95.3394
4,ent_coef,0.02,ent_coef 0.02 (optimal.sh value),3,164.7978,119.0062,197.3608,77.7962,74.3351,38.6375,126.9760,119.0062;178.0265;197.3608
5,anneal_lr,True,anneal_lr ON,3,214.4009,171.4888,251.2696,28.1931,24.7320,-15.2713,63.9294,220.4444;171.4888;251.2696
6,gae_lambda,0.95,gae_lambda 0.95 (cleanrl default),3,220.2850,200.8250,234.9935,22.3090,18.8479,10.9618,34.5932,234.9935;200.8250;225.0365
7,num_minibatches,32,num_minibatches 32 (smaller mb),3,223.3888,196.0714,270.2907,19.2053,15.7441,-34.8725,42.1780,203.8042;270.2907;196.0714
8,vf_coef,0.5,vf_coef 0.50 (cleanrl default),3,236.1514,227.0714,252.8371,6.4426,2.9815,-16.8388,17.4364,228.5458;227.0714;252.8371
9,gamma,0.99,gamma 0.99 (standard default),3,236.7791,211.6631,252.5529,5.8150,2.3538,-10.7029,24.3352,252.5529;246.1211;211.6631
10,clip_coef,0.2,clip_coef 0.20 (PPO paper default),3,257.1009,249.2320,265.8251,-14.5069,-17.9680,-20.8274,-13.2337,265.8251;256.2456;249.2320
