lr,num_steps,anneal_lr,update_epochs,n_seeds,budget_min,budget_max,terminal_mean,terminal_ci_lo,terminal_ci_hi,early_at_100k_mean,early_at_100k_ci_lo,early_at_100k_ci_hi,auc_100k_mean,auc_100k_ci_lo,auc_100k_ci_hi,time_to_R100_median_step,time_to_R100_reached
0.003,128,False,4,3,500000,500000,158.94,137.02,171.32,55.21,3.69,96.53,-13.73,-19.16,-4.94,67228,1/3
0.001,128,False,4,3,500000,500000,115.12,67.93,149.16,-15.90,-106.40,96.90,-58.71,-89.21,-13.74,91292,1/3
0.003,128,True,4,3,1000000,1000000,106.21,47.70,216.94,105.89,49.38,214.85,-12.19,-47.11,54.95,73696,1/3
0.00025,128,True,10,1,1000000,1000000,88.55,88.55,88.55,42.73,42.73,42.73,-61.70,-61.70,-61.70,,0/1
0.003,256,False,4,1,100000,100000,68.34,68.34,68.34,68.34,68.34,68.34,-7.34,-7.34,-7.34,,0/1
0.0003,512,True,10,3,800000,800000,64.60,7.66,104.43,21.91,-10.34,38.21,-64.26,-66.68,-61.97,,0/3
0.003,512,False,4,1,100000,100000,62.81,62.81,62.81,62.81,62.81,62.81,-70.85,-70.85,-70.85,,0/1
0.0003,1024,True,10,3,800000,800000,58.20,-4.65,103.14,-23.33,-34.38,-5.90,-96.23,-109.68,-86.60,,0/3
0.0003,256,True,10,3,800000,800000,55.20,12.95,82.58,-14.93,-60.85,48.20,-77.65,-91.31,-55.45,,0/3
0.003,1024,False,4,1,100000,100000,-27.90,-27.90,-27.90,-27.90,-27.90,-27.90,-92.67,-92.67,-92.67,,0/1
0.0003,128,False,4,3,100000,100000,-29.80,-39.25,-11.09,-29.80,-39.25,-11.09,-114.25,-116.61,-110.10,,0/3
0.01,128,True,4,3,1000000,1000000,-36.74,-163.78,97.70,-25.92,-129.94,66.06,-42.74,-65.32,-28.34,91472,1/3
0.003,2048,False,4,1,100000,100000,-58.70,-58.70,-58.70,-58.70,-58.70,-58.70,-132.74,-132.74,-132.74,,0/1
0.0001,128,False,4,3,100000,100000,-93.54,-104.10,-78.52,-93.54,-104.10,-78.52,-140.38,-149.79,-132.61,,0/3
