trial,seed,final,rc,elapsed_s,n_reports,report_path
29,101,245.9822,0,464.9,488,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0029_seed_101.jsonl
4,102,253.9830,0,479.1,488,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0004_seed_102.jsonl
4,105,217.4245,0,482.0,488,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0004_seed_105.jsonl
4,104,237.4858,0,483.8,488,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0004_seed_104.jsonl
4,101,126.9513,0,484.5,488,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0004_seed_101.jsonl
4,103,75.0591,0,485.2,488,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0004_seed_103.jsonl
17,102,173.3725,0,346.4,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0017_seed_102.jsonl
17,101,119.1116,0,348.9,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0017_seed_101.jsonl
29,102,235.4182,0,459.8,488,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0029_seed_102.jsonl
29,103,235.9983,0,456.5,488,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0029_seed_103.jsonl
29,104,246.5834,0,461.4,488,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0029_seed_104.jsonl
29,105,248.9881,0,459.7,488,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0029_seed_105.jsonl
17,104,183.6569,0,341.2,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0017_seed_104.jsonl
17,103,118.5759,0,347.0,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0017_seed_103.jsonl
17,105,179.9121,0,333.0,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0017_seed_105.jsonl
19,101,196.5034,0,342.3,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0019_seed_101.jsonl
19,103,195.9704,0,345.3,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0019_seed_103.jsonl
19,102,136.5494,0,349.2,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0019_seed_102.jsonl
19,104,221.8204,0,342.2,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0019_seed_104.jsonl
19,105,186.1568,0,339.9,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0019_seed_105.jsonl
18,101,159.6294,0,313.1,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0018_seed_101.jsonl
18,102,102.6204,0,310.1,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0018_seed_102.jsonl
18,103,183.8824,0,303.5,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0018_seed_103.jsonl
18,104,70.2046,0,304.8,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0018_seed_104.jsonl
18,105,117.3962,0,174.7,122,/home/dlibland/dev/spinningup/experiments/lunar_lander/reeval_results/jsonl/trial_0018_seed_105.jsonl
