trial,seed,final,rc,elapsed_s,n_reports,report_path
18,101,-202.8488,0,2896.8,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0018_seed_101.jsonl
0,104,-219.8302,0,5431.6,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0000_seed_104.jsonl
0,102,-195.1797,0,5433.4,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0000_seed_102.jsonl
0,101,-209.6905,0,5435.3,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0000_seed_101.jsonl
0,105,-228.6809,0,5437.8,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0000_seed_105.jsonl
0,103,-195.7150,0,5439.1,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0000_seed_103.jsonl
18,102,-823.9952,0,2883.7,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0018_seed_102.jsonl
18,103,-171.1158,0,2758.1,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0018_seed_103.jsonl
18,104,-372.1545,0,2759.4,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0018_seed_104.jsonl
18,105,-258.7020,0,2763.7,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0018_seed_105.jsonl
17,101,-212.0179,0,2763.9,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0017_seed_101.jsonl
17,102,-247.9604,0,2763.5,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0017_seed_102.jsonl
17,103,-184.7800,0,2612.5,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0017_seed_103.jsonl
17,105,-247.9048,0,1238.2,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0017_seed_105.jsonl
17,104,-241.1880,0,1242.3,488,/home/dlibland/dev/spinningup/experiments/pendulum/reeval_results/jsonl/trial_0017_seed_104.jsonl
